Название песни                                          Оценка мелодичности
Green Sun - Aiya                                              1                                     
Green Sun - Beyond the Eternity                               1
Green Sun - Birth Of The Earth                                1
Green Sun - Blues In Paris                                    1
Green Sun - Chill Out                                         1
Green Sun - Cry of the Universe                               1
Green Sun - Ethereal                                          1
Green Sun - Fantasy Land                                      1
Green Sun - First Breath                                      1
Green Sun - Forest Song                                       1
Green Sun - Freedom                                           1
Green Sun - Garden of Eden                                    1
Green Sun - Garden Of Eden (Electronica Mix)                  1
Green Sun - Hypnotize                                         1
Green Sun - In Your Mind                                      1
Green Sun - Lorien Dreams                                     1
Green Sun - Lost In The Space                                 1
Green Sun - Lost In The Space v.2                             1
Green Sun - Lost Love                                         1
Green Sun - Lullaby                                           1
Green Sun - Night Tempation                                   1
Green Sun - Nikitas Song                                      1
Green Sun - Oxygen 14                                         1
Green Sun - Pulsar                                            1
Green Sun - Rainy Day                                         1
Green Sun - Running Through the Time                          1
Green Sun - Sadness                                           1
Green Sun - Seashore Silence                                  1
Green Sun - Seashore Silence (Ambient Mix)                    1
Green Sun - Shinoubi                                          1
Green Sun - Space Traveller                                   1
Green Sun - The Temple                                        1
Green Sun - Unicorn Birth                                     1
Green Sun - Water Dream                                       1

Barron - Detroit City                                         0
Barron - Scum (VIP)                                           0
Defiler - I wanna see you cry, bitch                          0
Don Diablo feat. Dragonette - Animale (Datsik dubstep remix)  0
KillaGraham - Ice Cream Anthem VIP                            0
MEAUX GREEN - WHOA                                            0
PSY - Gangnam Style By (Tim Ismag Remix)                      0
Skrillex - Make It Bundem (Far Cry 3 OST)                     0
Sp3ctrum - Inanimate Object (Original Mix)                    0
Whitechapel - Devolver                                        0
Whitechapel - Eternal Refuge                                  0
Whitechapel - Prayer Of Mockery                               0
Whitechapel - The Darkest Day Of Man                          0
Whitechapel - Vicer Exciser                                   0
